,Year,Runtime (Minutes),Rating,Votes,Metascore,Revenue (Millions),imdb_avg_cast_pts,yga_avg_cast_rank,imdb_avg_director_pts,yga_avg_director_rank,genre_avg_rank,revenue_groups
642,2011,109,6.6,286543,63.0,55.8,14745.666666666666,715.3333333333334,0,0,7.5,3
643,2006,110,7.6,309934,68.0,39.83,35565.0,695.5,10853,0,8.666666666666666,2
644,2010,117,6.8,219116,47.0,77.21,34194.5,235.33333333333334,3278,0,2.3333333333333335,3
645,2014,100,6.7,71069,76.0,0.32,0.0,0.0,0,0,7.0,1
646,2013,119,6.3,166342,42.0,44.67,20146.5,516.3333333333334,0,0,4.0,2
647,2011,104,7.0,201707,57.0,37.37,19590.333333333332,873.3333333333334,0,0,3.3333333333333335,2
648,2006,149,6.6,338280,46.0,217.54,45081.0,639.5,32144,4,9.5,4
649,2016,104,7.7,16163,37.0,0.69,9739.5,8.0,1207,126,3.5,1
650,2011,126,7.5,259182,83.0,73.82,27919.666666666668,450.5,103526,11,4.666666666666667,3
651,2015,93,5.6,4155,68.0,0.02,5216.0,941.0,0,0,10.5,1
652,2008,128,7.1,182305,57.0,39.38,74736.0,487.0,70150,28,5.333333333333333,2
653,2015,118,5.7,17439,53.0,0.56,80845.66666666667,379.5,7751,0,7.0,1
654,2008,112,5.2,124554,31.0,102.18,8849.0,747.0,0,0,3.0,3
655,2016,99,5.4,29642,40.0,63.03,1317.0,421.3333333333333,0,0,4.0,3
656,2016,111,6.6,8998,54.0,4.71,77376.0,69.0,0,0,6.0,1
657,2009,129,8.2,144524,80.0,20.17,4253.5,0.0,2629,0,8.666666666666666,2
658,2010,110,7.6,254904,80.0,171.03,49388.75,470.25,0,62,7.333333333333333,4
659,2015,96,6.2,25903,46.0,3.59,0.0,520.0,0,0,10.333333333333334,1
660,2014,116,6.1,144779,44.0,42.62,29275.666666666668,391.5,0,0,11.0,2
661,2016,127,5.7,3731,0.0,3.65,4817.5,1123.0,0,0,6.0,1
662,2016,99,6.1,30035,65.0,34.9,0.0,0.0,0,0,10.5,2
663,2013,106,5.9,91684,39.0,68.56,6776.0,1197.3333333333333,0,0,5.666666666666667,3
664,2007,113,7.2,148943,68.0,39.0,38630.5,638.0,4723,0,8.0,2
665,2013,104,6.5,92875,61.0,27.69,0.0,853.0,0,0,13.0,2
666,2008,107,7.9,322536,67.0,7.76,33883.0,806.0,13926,0,5.333333333333333,1
667,2012,103,6.3,154400,31.0,54.76,27664.25,393.0,0,0,5.666666666666667,3
668,2009,111,7.3,187302,0.0,0.06,37906.333333333336,310.0,5789,0,2.0,1
669,2011,113,5.2,84893,0.0,21.27,0.0,550.5,0,0,3.0,2
670,2010,116,7.8,290056,79.0,93.57,62091.75,517.75,22172,107,6.0,3
671,2007,114,7.5,91229,38.0,31.66,12008.0,885.3333333333334,1489,0,10.0,2
672,2014,114,7.3,151970,68.0,31.24,42023.0,300.0,2357,0,3.5,2
673,2015,102,7.3,57826,73.0,18.7,26592.5,507.3333333333333,1273,0,9.666666666666666,2
674,2008,118,6.6,156158,43.0,101.11,13101.0,864.25,0,0,7.0,3
675,2013,85,5.7,154588,41.0,64.42,40666.0,702.5,0,0,8.666666666666666,3
676,2014,153,8.2,103279,51.0,10.57,3291.0,0.0,0,0,6.0,1
677,2013,114,6.7,194236,0.0,61.66,35875.0,738.6666666666666,1273,0,3.5,3
678,2008,122,6.2,351361,65.0,317.01,43145.25,447.6666666666667,131784,1,3.0,4
679,2015,109,6.3,72515,56.0,31.99,0.0,0.0,0,0,8.666666666666666,2
680,2015,119,5.7,25928,65.0,0.34,6341.75,804.3333333333334,0,0,3.0,1
681,2008,106,6.6,347798,58.0,168.37,24300.25,228.0,12926,0,3.3333333333333335,4
682,2010,98,8.1,523893,74.0,217.39,6962.0,867.0,0,0,3.6666666666666665,4
683,2006,110,5.6,82701,36.0,42.27,24997.666666666668,843.3333333333334,18353,30,7.0,2
684,2006,96,7.3,199193,51.0,10.14,23246.0,450.0,30689,113,4.0,1
685,2011,106,6.2,110490,57.0,191.45,67879.33333333333,297.0,17414,0,4.333333333333333,4
686,2016,102,5.1,10871,35.0,0.78,11989.0,909.0,0,0,10.5,1
687,2015,108,7.2,29912,0.0,3.86,11877.0,511.0,0,0,8.0,1
688,2011,113,6.9,218679,56.0,61.09,27218.75,550.5,8427,0,7.0,3
689,2015,117,6.5,67196,34.0,12.28,19168.25,343.5,1465,0,6.333333333333333,1
690,2007,120,7.3,128146,45.0,28.48,12902.25,478.25,2068,0,6.333333333333333,2
691,2014,95,6.9,31370,31.0,0.04,5617.0,946.0,0,0,6.0,1
692,2013,134,7.8,346154,83.0,107.1,72262.0,660.0,26241,0,7.666666666666667,3
693,2016,92,4.6,11555,22.0,3.77,20242.5,804.0,0,0,4.333333333333333,1
694,2015,89,6.7,69157,44.0,169.69,4155.0,508.0,0,0,7.333333333333333,4
695,2008,92,6.4,366138,49.0,227.95,26469.0,141.66666666666666,7909,0,4.666666666666667,4
696,2015,118,6.0,50241,58.0,87.03,3573.0,307.0,0,0,4.0,3
697,2013,111,6.3,92868,42.0,36.92,85226.0,96.0,26033,0,6.666666666666667,2
698,2008,101,6.6,154936,56.0,31.45,21604.5,720.0,5774,35,7.5,2
699,2016,66,7.8,4370,85.0,0.29,0.0,0.0,0,0,5.0,1
700,2012,102,6.6,129252,40.0,18.6,16499.0,1029.3333333333333,0,0,6.0,2
701,2011,108,6.2,178243,50.0,70.63,21187.5,560.5,6171,0,7.5,3
702,2006,120,7.3,87887,77.0,5.48,126932.0,329.0,2963,77,5.666666666666667,1
703,2013,98,7.4,304837,62.0,368.05,23007.0,544.3333333333334,0,0,4.333333333333333,4
704,2014,114,6.5,93883,57.0,25.98,62334.0,28.0,1573,0,8.0,2
705,2013,109,7.0,199813,81.0,26.0,19482.0,1074.25,18390,0,3.6666666666666665,2
706,2012,110,7.2,196652,66.0,14.99,37160.75,382.5,13926,0,6.5,1
707,2007,115,6.2,146566,59.0,82.16,33820.5,810.3333333333334,63408,37,3.6666666666666665,3
708,2014,105,6.2,103681,57.0,50.55,23760.75,532.25,584,0,4.0,3
709,2007,104,6.8,221073,64.0,71.98,28528.0,97.0,1566,0,10.0,3
710,2014,111,6.0,52537,55.0,33.63,23865.0,378.5,0,0,6.333333333333333,2
711,2010,116,6.6,233148,50.0,90.76,32723.75,859.25,10786,0,3.0,3
712,2013,95,7.1,115751,82.0,6.85,18676.25,1040.6666666666667,0,0,6.0,1
713,2016,111,6.8,4771,65.0,3.9,24483.5,1153.3333333333333,0,0,9.0,1
714,2015,93,6.7,19309,60.0,0.05,0.0,1201.0,0,0,2.3333333333333335,1
715,2013,100,6.2,142560,57.0,71.59,26185.0,849.0,0,0,10.5,3
716,2009,123,7.0,153448,42.0,41.57,30133.0,1046.0,8427,0,11.0,2
717,2012,112,6.3,72050,54.0,16.68,15907.666666666666,704.0,25099,33,7.5,2
718,2009,87,7.8,149779,83.0,21.0,36410.5,349.5,27844,73,4.333333333333333,2
719,2006,129,7.6,285441,76.0,88.5,37998.5,252.25,14426,14,8.0,3
720,2010,94,7.6,294010,82.0,18.33,17293.0,733.5,35149,71,5.666666666666667,2
721,2014,99,5.4,91106,37.0,84.26,0.0,728.0,0,0,11.0,3
722,2009,123,6.8,130153,65.0,7.69,22115.75,448.6666666666667,22977,58,6.333333333333333,1
723,2009,118,5.8,180105,32.0,150.17,10185.0,282.6666666666667,0,0,2.6666666666666665,4
724,2016,119,7.0,5855,72.0,0.3,31969.0,1304.0,1674,0,8.0,1
725,2016,91,4.6,5715,0.0,6.88,29246.0,629.0,0,0,8.0,1
726,2007,191,7.6,160350,0.0,25.03,21491.0,174.5,2019,70,7.666666666666667,2
727,2008,87,1.9,77207,15.0,14.17,0.0,0.0,0,0,4.0,1
728,2006,102,7.2,171356,63.0,70.27,14520.0,543.0,3807,0,9.5,3
